V1514 Cyg
V1515 Cyg
V1910 Cyg
V1938 Cyg
V1977 Cyg
V1982 Cyg
NSV 25614
CF Dra
KW Her
V1117 Her
BH Lac
FY Lac
V0375 Lac
OQ Lyr
V0497 Lyr
V1121 Oph
XY Per
CF Per
DN Per
EO Per
IP Per
IS Per
V0369 Per
RZ Psc
CN Sge
DW Sge
V1098 Sco
XX Sct
GSC 05107-00266
VV Ser
DD Ser
DM Ser
T Tau
RY Tau
VY Tau
ZZ Tau
AA Tau
BM Tau
BP Tau
BS Tau
CW Tau
DF Tau
DG Tau
DN Tau
DS Tau
FX Tau
GK Tau
GU Tau
V0586 Tau
V0587 Tau
WW Vul
CT Vul
IZ Vul
WASP-76
HAT-P-12
HAT-P-32
HAT-P-18
HAT-P-3
HAT-P-38
HD 149026
HAT-P-26
WASP-80
WASP-69
WASP-52
WASP-39
WASP-67
HS 0624+6907
3C 273
PG 1351+640
SW And
AC And
XX And
AT And
FF Aql
TT Aql
U Aql
eta Aql
SW Aqr
BH Aur
RS Boo
ST Boo
SW Boo
TV Boo
SZ Boo
TW Boo
UU Boo
UY Boo
TW Cap
del Cep
RR Cet
XZ Cyg
DM Cyg
RW Dra
XZ Dra
AR Her
DL Her
TW Her
VX Her
DY Her
RZ Lyr
AV Peg
RV UMa
alf UMi
ASAS J182611+1212.6
AG LMi
ASAS J050610+2638.7
ASAS J193639+3933.2
bet Per
CD And
CSS_J160450.1+520159
Dauban V239
Dauban V241
Dauban V242
Dauban V243
Dauban V244
Dauban V245
Dauban V246
Dauban V247
DK Cam
EE Cep
EL And
EN Sge
FR Lac
GH Cam
HQ Cam
KIC 10001167
KIC 5640750
KIC 7037405
KIC 9970396
KID 03644542
KID 07377422
KID 08257407
KID 2307206
KID 3428468
KID 4659255
KID 8044608
KID 9028474
KL Cep
LL Aqr
Mis V1351
MO Dra
NO Dra
NS Dra
NSV 14400
NSV 15581
NSV 15635
NSV 15666
NSV 1853
NSV 25882
NSVS 2844818
NT UMa
NU UMa
OV Aqr
OY Aql
PQ Cam
UCAC3 323-013086
V0347 Cam
V0381 And
V0413 Ser
V0425 Dra
V0441 Dra
V0457 Lac
V0491 Vul
V0493 Sct
V0498 Cam
V0512 Cam
V0516 Cam
V0539 Lyr
V0698 Cyg
V0732 Per
V0750 Cep
V0751 Per
V0788 Cyg
V0798 Cep
V0840 Her
V0850 Cep
V0880 Cep
V0888 Per
V0898 Cep
V0919 Cep
V0921 Cep
V0922 Cep
V0957 Cep
V0958 Per
V1112 Cas
V1141 Cas
V1160 Cas
V1162 Cas
V1177 Cas
V1287 Tau
V1344 Her
V1356 Tau
V1719 Aql
V1725 Aql
V1811 Aql
V2541 Cyg
V2544 Cyg
V2618 Cyg
V2636 Oph
V2638 Oph
V2642 Oph
V2647 Cyg
RU And
ST And
R Aql
RR Aql
R Aqr
RS Aqr
S Aur
Z Aur
V Boo
T CVn
V CVn
R Cap
S Cas
Z Cas
SV Cas
S Cep
V CrB
RS Cyg
RZ Cyg
LX Cyg
Y Del
T Dra
W Dra
RS Lac
U LMi
S Lyr
U Lyr
RU Lyr
RV Peg
W Tau
RX UMa
T UMi
RU Vir
SS Vir
RU Vul
R And
W And
S Aql
V Aql
R Ari
T Ari
X Aur
R Aur
S Boo
R Boo
RX Boo
X Cam
R Cam
T Cam
U Cam
W Cas
WZ Cas
R Cas
T Cas
V Cas
miu Cep
AR Cep
SS Cep
T Cep
omi Cet
S CrB
R CVn
Y CVn
RU Cyg
TU Cyg
TZ Cyg
Z Cyg
AF Cyg
khi Cyg
R Cyg
RT Cyg
U Cyg
V Cyg
W Cyg
WX Cyg
S Del
EU Del
U Del
R Dra
RY Dra
TX Dra
SX Her
W Her
alf Her
g Her
RS Her
RU Her
S Her
T Her
U Her
X Her
W Lyr
R Lyr
X Oph
R Peg
W Peg
rho Per
U Per
W Per
Y Per
S Per
R Ser
R Tri
RS UMa
S UMa
R UMa
RY UMa
ST UMa
T UMa
VW UMa
VY UMa
Z UMa
S UMi
U UMi
R Vir
S Vir
R Vul
T Cet
Y Cyg
V2487 Oph
V1687 Cyg
KIC 08462852
RR Lyr
V2492 Cyg
eps Aur
P Cyg
AG Peg
AG Dra
R Aqr
CH Cyg
AG Dra
AG Dra
AG Dra
AG Dra
CH Cyg
CH Cyg
CH Cyg
AG Peg
AG Peg
AG Peg
AG Peg
KIC 08462852
KIC 08462852
KIC 08462852
R Aqr
R Aqr
R Aqr
R Aqr
RW Aur
RW Aur
RW Aur
RW Aur
V1687 Cyg
V1687 Cyg
V1687 Cyg
V1687 Cyg
V2487 Oph
V2492 Cyg
V2492 Cyg
V2492 Cyg
V2492 Cyg
eps Aur
eps Aur
eps Aur
eps Aur
RW Aur
V2500 Oph
CH Cyg
DDE 48
V1117 Her
V1117 Her
V1117 Her
V1117 Her
V404 Cyg
VV Cep
VV Cep
VV Cep
FO Aqr
FO Aqr
CI Aql
CI Aql
CI Aql
R Aqr
R Aqr
R Aqr
ST Tri
MASTER OT J132104.04+560957.8
TT Ari
TT Ari
TT Ari
AK Cep
BW Cyg
b Per
ASASSN-18ca
ASASSN-18ca
ASASSN-18ca
SU UMa
SU UMa
SU UMa
SU UMa
SU UMa
SU UMa
SU UMa
SU UMa
CR Boo
CR Boo
CR Boo
CR Boo
CR Boo
CR Boo
CR Boo
CR Boo
SDSS J153817.35+512338.0
ASASSN-18ey
ASASSN-18ey
ASASSN-18ey
ASASSN-18ey
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
MAXI J1820+070
N Sgr 2018
N Sgr 2018
N Sgr 2018
N Sgr 2018
N Sgr 2018
NSVS J1444107-074451
NSVS J1444107-074451
V392 Per
V392 Per
V392 Per
V392 Per
V392 Per
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
SDSS J141118.31+481257.6
N Sct 2018
N Sct 2018
N Sct 2018
N Sct 2018
N Sct 2018
V1490 Cyg
V1490 Cyg
V1490 Cyg
V1490 Cyg
V1490 Cyg
ASASSN-18pe
ASASSN-18pe
ASASSN-18pe
ASASSN-18pe
ASASSN-18pe
YZ Cet
GJ 54.1
TY Cas
TY Cas
FI Per
FI Per
CI Cyg
CT Lac
N Oph 2018 No. 3
N Oph 2018 No. 3
N Oph 2018 No. 3
N Oph 2018 No. 3
N Oph 2018 No. 3
ASASSN-V J195442.95+172212.6
ASASSN-V J195442.95+172212.6
ASASSN-V J195442.95+172212.6
ASASSN-V J195442.95+172212.6
ASASSN-V J195442.95+172212.6
GK Per
GK Per
GK Per
GK Per
GK Per
EN Sgr
EN Sgr
GAIA DR2 4150099732733146112
GAIA DR2 4150099732733146112
GAIA DR2 4150446010182968192
GAIA DR2 4150446010182968192
FASTT 1100
FASTT 1100
GAIA DR2 4168021909706732672
GAIA DR2 4168021909706732672
V2525 Oph
V2525 Oph
SS 295
SS 295
GAIA DR2 4334886650491663104
GAIA DR2 4334886650491663104
GAIA DR2 4131587500273361280
GAIA DR2 4131587500273361280
LQ Peg
LQ Peg
UU Aqr
UU Aqr
V378 Peg
V378 Peg
M31_V1
MRK 421
BL Lac
XZ Tau
XZ Tau
XZ Tau
HL Tau
HL Tau
HL Tau
V349 Vul
V349 Vul
RT Aql
RT Aql
V353 Vul
V353 Vul
V1301 Cyg
V1301 Cyg
SX Cyg
SX Cyg
AU Cyg
AU Cyg
V1655 Cyg
V1655 Cyg
V1659 Cyg
V1659 Cyg
NSVS J2041274+511326
NSVS J2041274+511326
DR Cyg
DR Cyg
V750 Cyg
V750 Cyg
W Cep
W Cep
AL Cep
AL Cep
VX Cep
VX Cep
FY Aql
V657 Cas
V657 Cas
V850 Cas
V850 Cas
V818 Sco
2MASS J16194990-1537248
U Sco
U Sco
U Sco
U Sco
U Sco
R Aqr
T Peg
CRTS J105122.8+672528
CRTS J105122.8+672528
V386 Ser
V386 Ser
KIC 2856960
KIC 2856960
KIC 2856960
